pivot,derivation,similarity,category,affix
uczuciowy,uczuciowo,0.88787085,ADJ:ADV,-o
uczuciowy,uczuciowość,0.8680964,ADJ:N,-ość
przydatny,przydatność,0.66214806,ADJ:N,-ość
stanowczy,stanowczo,0.66290313,ADJ:ADV,-o
popić,popijać,0.86277294,V:V,-ać
rzecznik,rzeczniczka,0.66626424,N:N,-ka
prasa,prasowy,0.81731874,N:ADJ,-owy
stwierdzić,stwierdzać,0.7241486,V:V,-ać
twierdzić,zatwierdzić,0.66745394,V:V,za-
zatwierdzić,zatwierdzać,0.9369839,V:V,-ać
strzec,zastrzec,0.7496292,V:V,za-
zastrzec,zastrzegać,0.6330742,V:V,-ać
formalny,formalnie,0.8719024,ADJ:ADV,-ie
podległy,podległość,0.7950158,ADJ:N,-ość
wicedyrektor,wicedyrektorka,0.80899537,N:N,-ka
wiceprezes,wiceprezeska,0.84683067,N:N,-ka
kaszkiet,kaszkiecik,0.8040259,N:N,-ik
przejąć,przejmować,0.945654,V:V,-ować
bariera,barierowy,0.85923916,N:ADJ,-owy
bariera,barierka,0.9181719,N:N,-ka
otomana,otomanka,0.84325814,N:N,-ka
skarabeusz,skarabeuszek,0.95973253,N:N,-ek
prosty,prostować,0.6349337,ADJ:V,-ować
gra,gierny,0.6735322,N:ADJ,-ny
racuch,racuszek,0.81942344,N:N,-ek
oprocentować,oprocentowanie,0.89662844,V:N,-anie
tyłek,tyłeczek,0.7450076,N:N,-ek
monsun,monsunowy,0.87564033,N:ADJ,-owy
nocleg,noclegowy,0.7938985,N:ADJ,-owy
krajobraz,krajobrazowy,0.76399064,N:ADJ,-owy
niewiarygodny,niewiarygodnie,0.73250985,ADJ:ADV,-ie
grozić,zagrozić,0.8918955,V:V,za-
zagrozić,zagrażać,0.9183281,V:V,-ać
Ateny,ateński,0.7567804,N:ADJ,-ski
wielojęzyczny,wielojęzyczność,0.7867087,ADJ:N,-ość
kabina,kabinka,0.8295897,N:N,-ka
korporacja,korporacyjny,0.8694599,N:ADJ,-ny
garaż,garażowy,0.82134604,N:ADJ,-owy
piwowar,piwowarstwo,0.8880519,N:N,-stwo
poliester,poliestrowy,0.54697734,N:ADJ,-owy
tiul,tiulowy,0.8451379,N:ADJ,-owy
szyfon,szyfonowy,0.8099696,N:ADJ,-owy
etat,etacik,0.6202138,N:N,-ik
parweniusz,parweniuszka,0.8819486,N:N,-ka
truć,zatruć,0.8334398,V:V,za-
Afroamerykanin,Afroamerykanka,0.9165245,N:N,-ka
Afroamerykanin,afroamerykański,0.74189025,N:ADJ,-ski
przygoda,przygodowy,0.73348427,N:ADJ,-owy
lodowaty,lodowato,0.87932104,ADJ:ADV,-o
