pivot,derivation,similarity,category,affix
frankowicz,frankowiczka,0.9652656,N:N,-ka
tuzinkowy,tuzinkowość,0.9442562,ADJ:N,-ość
mączny,mącznie,0.8446807,ADJ:ADV,-ie
kłamczuszek,kłamczuszka,0.98535097,N:N,-ka
wilczarz,wilczarski,0.9335828,N:ADJ,-ski
retman,retmański,0.90053505,N:ADJ,-ski
Kohelet,Koheletowy,0.9482724,N:ADJ,-owy
niedościgły,niedościgłość,0.9049947,ADJ:N,-ość
niepowtarzalny,niepowtarzalnie,0.96461284,ADJ:ADV,-ie
wyzyskiwacz,wyzyskiwaczka,0.98294395,N:N,-ka
wczasowicz,wczasowiczka,0.96792436,N:N,-ka
rozkuwać,rozkuwanie,0.9482837,V:N,-anie
fraszka,fraszkowy,0.91670704,N:ADJ,-owy
algebraiczny,algebraiczność,0.93792117,ADJ:N,-ość
przeciwgrzybiczo,przeciwgrzybiczny,0.95995855,ADV:ADJ,-ny
Matuzalem,Matuzalemowy,0.9354485,N:ADJ,-owy
Matuzal,Matuzalowy,0.94853354,N:ADJ,-owy
matuzalem,matuzalemka,0.98270494,N:N,-ka
matuzalem,matuzalemowy,0.93628514,N:ADJ,-owy
matuzal,matuzalowy,0.9632065,N:ADJ,-owy
stypendysta,stypendystka,0.9613988,N:N,-ka
Ziuta,Ziutek,0.94226545,N:N,-ek
mikołowianin,mikołowianka,0.97604066,N:N,-ka
przychodnia,przychodniany,0.9514506,N:ADJ,-ny
Rysio,Rysiowy,0.9180107,N:ADJ,-owy
mrówkożer,mrówkożerny,0.97582424,N:ADJ,-ny
mszał,mszałowy,0.9591481,N:ADJ,-owy
skarżyszczanin,skarżyszczanka,0.9815731,N:N,-ka
leukocyt,leukocytowy,0.93264586,N:ADJ,-owy
kontrreformacja,kontrreformacyjny,0.9416515,N:ADJ,-ny
reformacja,reformacyjny,0.91887087,N:ADJ,-ny
sekularyzacja,sekularyzować,0.89004236,N:V,-ować
przewiercić,przewiercenie,0.9565043,V:N,-enie
przewiercić,przewiercać,0.99376196,V:V,-ać
wiercić,wiercenie,0.95794153,V:N,-enie
wywiercić,wywiercenie,0.9395185,V:N,-enie
wywiercić,wywiercać,0.9957081,V:V,-ać
Sławomir,Sławomirostwo,0.9222293,N:N,-stwo
Sławomir,Sławomirowy,0.9439776,N:ADJ,-owy
defekacja,defekować,0.91698766,N:V,-ować
transseksualny,transseksualnie,0.95911014,ADJ:ADV,-ie
biatlonista,biatlonistka,0.96593237,N:N,-ka
szczypiorniak,szczypiorniaczek,0.9590811,N:N,-ek
frankista,frankistka,0.92046607,N:N,-ka
likaon,likaoński,0.8991278,N:ADJ,-ski
Likaonia,Likaonka,0.9378446,N:N,-ka
odłam,odłamać,0.9560081,N:V,-ać
wrzucić,wrzucenie,0.960791,V:N,-enie
wrzucić,wrzucać,0.97614723,V:V,-ać
felieton,felietonik,0.9691505,N:N,-ik
felieton,felietonowy,0.92717487,N:ADJ,-owy
wygonić,wygonienie,0.9488054,V:N,-enie
wygonić,wyganiać,0.9752863,V:V,-ać
gwarantować,gwarantowanie,0.94078404,V:N,-anie
identyfikować,identyfikowanie,0.9279256,V:N,-anie
mianować,mianowanie,0.9129037,V:N,-anie
bieszczadnik,bieszczadniczka,0.9628474,N:N,-ka
rekolekcje,rekolekcyjny,0.93069494,N:ADJ,-ny
nierasowy,nierasowość,0.9333236,ADJ:N,-ość
rekolektant,rekolektantka,0.972223,N:N,-ka
recepcjonista,recepcjonistka,0.9655501,N:N,-ka
kaznodzieja,kaznodziejka,0.97914666,N:N,-ka
kaznodzieja,kaznodziejski,0.9421608,N:ADJ,-ski
kanister,kanistrowy,0.936836,N:ADJ,-owy
kanonik,kanoniczny,0.8364063,N:ADJ,-ny
kanonier,kanonierka,0.9680517,N:N,-ka
