pivot,derivation,similarity,category,affix
base,básico,0.51023483,N:ADJ,-ico
ducto,ductal,0.54115057,N:ADJ,-al
patriota,compatriota,0.9255855,ADJ:N,com-
seguir,seguidor,0.68205345,V:N,-dor
concentrar,concentración,0.89361835,V:N,-ción
nacional,nacionalidad,0.62575406,ADJ:N,-idad
asociar,asociación,0.80038023,V:N,-ción
escuadra,escuadrón,0.882193,N:N,-ón
enfrentar,enfrentamiento,0.77599674,V:N,-miento
manifestar,manifestante,0.86491454,V:N,-ante
organizar,organización,0.54229975,V:N,-ción
viajar,viajero,0.8262939,V:ADJ,-ero
equipar,equipaje,0.81784856,V:N,-aje
sombrero,sombrerera,0.90249646,N:N,-era
vender,vendedor,0.8147351,V:N,-dor
seguro,seguridad,0.61033374,ADJ:N,-idad
acontecer,acontecimiento,0.9228934,V:N,-miento
negociar,negociación,0.87560046,V:N,-ción
activo,actividad,0.71202415,ADJ:N,-idad
procesar,procesamiento,0.81417596,V:N,-miento
invitar,invitación,0.8848072,V:N,-ción
voz,vocero,0.733906,N:N,-ero
mayor,mayoría,0.5485722,ADJ:N,-ía
asistir,asistencia,0.51591367,V:N,-encia
católico,catolicismo,0.77003205,ADJ:N,-ismo
acción,reacción,0.82018274,N:N,re-
partido,partidario,0.79470444,N:ADJ,-ario
guerrilla,guerrillero,0.85996664,N:ADJ,-ero
comercializar,comercialización,0.9104823,V:N,-ción
por ciento,porcentaje,0.8308346,ADV:N,-aje
traficante,narcotraficante,0.88060164,N:N,narco-
escaso,escasez,0.78754467,ADJ:N,-ez
resistible,irresistible,0.94778633,ADJ:ADJ,in-
trámite,tramitar,0.6961653,N:V,-ar
presencia,presenciar,0.8280605,N:V,-ar
catar,acatar,0.798654,V:V,a-
captura,capturar,0.8368372,N:V,-ar
relación,relacionar,0.65235543,N:V,-ar
abolir,abolición,0.8685821,V:N,-ción
exportar,exportación,0.83359265,V:N,-ción
poblar,población,0.7603853,V:N,-ción
terror,terrorismo,0.79852295,N:N,-ismo
sueldo,soldado,0.7801093,N:N,-ado
mover,movimiento,0.74926263,V:N,-miento
pelota,pelotero,0.83421266,N:N,-ero
proceder,procedimiento,0.87948143,V:N,-miento
visión,televisión,0.7370116,N:N,tele-
educar,educación,0.5650215,V:N,-ción
urbano,urbanismo,0.44020498,ADJ:N,-ismo
libre,libertad,0.6559899,N:N,-tad
periódico,periodista,0.742975,N:N,-ista
embajada,embajador,0.8926036,N:N,-dor
detener,detención,0.8243272,V:N,-ción
pasaje,pasajero,0.82765377,N:ADJ,-ero
ropa,ropero,0.44236445,N:ADJ,-ero
silla,sillón,0.8654565,N:N,-ón
cabeza,cabecera,0.81984407,N:N,-era
colcha,colchón,0.79179025,N:N,-ón
