pivot,derivation,similarity,category,affix
mały,malutki,0.9186426,ADJ:ADJ,-utki
czasowy,czasownik,0.56622475,ADJ:N,-nik
kierować,kierownik,0.8179775,V:N,-nik
kierownik,kierowniczka,0.7669723,N:N,-ka
godny,godność,0.87641,ADJ:N,-ość
kazać,wskazać,0.697493,V:V,ws-
znaczyć,wyznaczyć,0.79667956,V:V,wy-
trafić,potrafić,0.6096812,V:V,po-
lekarz,lekarstwo,0.8254401,N:N,-stwo
pion,pionek,0.78240657,N:N,-ek
mierzalny,niemierzalny,0.7346451,ADJ:ADJ,nie-
liczba,liczebnik,0.7611393,N:N,-nik
król,królowa,0.9171287,N:N,-owa
car,caryca,0.73985946,N:N,-yca
dostrzec,dostrzegać,0.71250314,V:V,-ać
stary,starość,0.6406424,ADJ:N,-ość
dorosły,dorosłość,0.7409471,N:N,-ość
pełnoletni,pełnoletniość,0.88733965,ADJ:N,-ość
Czech,Czeszka,0.6151221,N:N,-ka
podlać,podlewać,0.7627395,V:V,-wać
koń,konik,0.76469946,N:N,-ik
zwierz,zwierzę,0.87467057,N:N,-ę
beton,betonowy,0.7295648,N:ADJ,-owy
wiatr,wietrzyć,0.7120354,N:V,-yć
napowietrzyć,napowietrzać,0.9457087,V:V,-ać
stryj,stryjek,0.8425321,N:N,-ek
zimny,zimno,0.8866927,ADJ:ADV,-o
przeziębić,przeziębienie,0.82434785,V:N,-enie
puch,puszka,0.58924836,N:N,-ka
ametyst,ametystowy,0.7889705,N:ADJ,-owy
studia,studiować,0.85666895,N:V,-ować
jedność,jednostka,0.8371441,N:N,-ka
rudy,rudo,0.7267366,ADJ:ADV,-o
szczep,szczepowy,0.8053919,N:ADJ,-owy
prowadzić,poprowadzić,0.8929728,V:V,po-
prowadzić,zaprowadzić,0.8516858,V:V,za-
doprowadzić,doprowadzać,0.6970262,V:V,-ać
przeprowadzić,przeprowadzać,0.9573,V:V,-ać
wskazać,wskazywać,0.85289985,V:V,-ywać
wodzić,dowodzić,0.7314745,V:V,do-
wodzić,przewodzić,0.77383584,V:V,prze-
chodzić,wychodzić,0.89966166,V:V,wy-
przód,przodować,0.6907095,N:V,-ować
brać,wybrać,0.8709695,V:V,wy-
prosty,prostak,0.7050275,ADJ:N,-ak
administrator,administratorka,0.77130044,N:N,-ka
kość,kostka,0.728114,N:N,-ka
Litwa,litewski,0.7925854,N:ADJ,-ski
igła,iglica,0.7861546,N:N,-ica
Polska,Małopolska,0.7376874,N:N,mało-
mały,mało,0.78138626,ADJ:N,-o
bezczelny,bezczelność,0.8937561,ADJ:N,-ość
zuchwały,zuchwalstwo,0.8122597,ADJ:N,-stwo
teizm,politeizm,0.6004483,N:N,poli-
liczyć,liczba,0.704762,V:N,-ba
niemy,Niemiec,0.71802104,ADJ:N,-iec
wiele,niewiele,0.875017,ADV:N,nie-
podać,podatek,0.7509185,V:N,-ek
otworzyć,otwarty,0.78247887,V:ADJ,-ty
otworzyć,otwierać,0.94082236,V:V,-ać
ostać,ostatni,0.70178163,V:ADJ,-ni
zabić,zabijać,0.92128134,V:V,-ać
legły,równoległy,0.5307335,V:ADJ,równo-
czynny,czynność,0.71866095,ADJ:N,-ość
przyszły,przyszłość,0.72482616,ADJ:N,-ość
ile,ilość,0.7919775,N:N,-ość
wschód,wschodni,0.8234495,N:ADJ,-ni
zachód,zachodni,0.7988654,N:ADJ,-ni
syn,synowa,0.823804,N:N,-owa
kopać,kopalnia,0.8052706,V:N,-alnia
miedź,miedziany,0.69127905,N:ADJ,-any
Bułgaria,bułgarski,0.85293895,N:ADJ,-ski
zainteresować,zainteresowanie,0.8639248,V:N,-anie
żelazo,żelazko,0.82277876,N:N,-ko
nora,nornica,0.80520755,N:N,-nica
ciemny,ciemność,0.7758938,ADJ:N,-ość
próżny,próżnia,0.69393253,ADJ:N,-nia
odkurzać,odkurzacz,0.85756207,V:N,-acz
młot,młotek,0.925437,N:N,-ek
Ameryka,Amerykanin,0.7713719,N:N,-nin
Ameryka,amerykański,0.7133288,N:ADJ,-ski
obecny,obecnie,0.76692986,ADJ:ADV,-ie
zamknąć,zamykać,0.9391773,V:V,-ać
zegar,zegarek,0.9261703,N:N,-ek
wart,wartość,0.7452705,ADJ:N,-ość
głupi,głupek,0.85647297,ADJ:N,-ek
samobójca,samobójstwo,0.7596875,N:N,-stwo
alkohol,alkoholowy,0.7815594,N:ADJ,-owy
myć,mydło,0.73029196,V:N,-dło
spadać,wodospad,0.80675644,V:N,wodo-
gwiazda,rozgwiazda,0.65861434,N:N,roz-
chciwy,chciwość,0.81894195,ADJ:N,-ość
mianować,mianownik,0.65259266,V:N,-nik
dopełniać,dopełniacz,0.74111086,V:N,-acz
celować,celownik,0.82070583,V:N,-nik
bierny,biernik,0.86254334,N:N,-nik
narzędzie,narzędnik,0.69624853,N:N,-nik
miejsce,miejscownik,0.7468666,N:N,-ownik
wołać,wołacz,0.7716145,V:N,-acz
zapomnieć,zapominać,0.9381931,V:V,-ać
słońce,słonecznik,0.700936,N:N,-nik
wiadomy,wiadomość,0.6872948,ADJ:N,-ość
konew,konewka,0.8393294,N:N,-ka
obiecać,obietnica,0.9333847,V:N,-nica
kolano,kolanowy,0.78533155,N:ADJ,-owy
kolor,kolorowy,0.8326319,N:ADJ,-owy
bordo,bordowy,0.71186906,N:ADJ,-owy
żółty,żółtawy,0.7938768,ADJ:ADJ,-awy
zielony,zielonkawy,0.6127384,ADJ:ADJ,-awy
niebieski,niebieskawy,0.8121614,ADJ:ADJ,-awy
szary,szarawy,0.64458567,ADJ:ADJ,-awy
biały,białawy,0.80042976,ADJ:ADJ,-awy
fioletowy,fioletowawy,0.6817105,ADJ:ADJ,-awy
pomarańczowy,pomarańczowawy,0.68829006,ADJ:ADJ,-awy
różowy,różowawy,0.7042283,ADJ:ADJ,-awy
czerwony,czerwonawy,0.8562273,ADJ:ADJ,-awy
czarny,czarnawy,0.7600743,ADJ:ADJ,-awy
brązowy,brązowawy,0.7612534,ADJ:ADJ,-awy
potomek,potomstwo,0.7931524,N:N,-stwo
południe,popołudnie,0.74793506,N:N,po-
tłumaczyć,tłumaczenie,0.65728563,V:N,-enie
