verb,aspect,pair,pair_aspect,pair_type,similarity
jęczeć,ndk,rozjęczeć,dk,derived,0.6225069022507755
jęczeć,ndk,wyjęczeć,dk,derived,0.5667380711585053
jęczeć,ndk,zajęczeć,dk,empty,0.5355626426968467
karmić,ndk,nakarmić,dk,empty,0.7265783753335766
kierować,ndk,skierować,dk,empty,0.6666187947090907
kierować,ndk,nakierować,dk,derived,0.5884270141208878
kierować,ndk,wykierować,dk,derived,0.5551868869355026
kierować,ndk,przekierować,dk,derived,0.45794618785972485
kiwać,ndk,kiwnąć,dk,suffixed,0.6229193648165859
kłamać,ndk,skłamać,dk,empty,0.714459911145397
kłamać,ndk,okłamać,dk,derived,0.6887545561952515
kłaść,ndk,położyć,dk,suppletion,0.793796602007066
kłócić,ndk,pokłócić,dk,empty,0.7050562604227963
kojarzyć,ndk,skojarzyć,dk,empty,0.7774147880240542
komentować,ndk,skomentować,dk,empty,0.744803598140507
koncentrować,ndk,skoncentrować,dk,empty,0.834671098020776
kontaktować,ndk,skontaktować,dk,empty,0.8093942070682082
kontaktować,ndk,zakontaktować,dk,derived,0.5648835913740567
kontrolować,ndk,skontrolować,dk,empty,0.7147249017531996
kończyć,ndk,skończyć,dk,empty,0.8167768065091823
korzystać,ndk,skorzystać,dk,empty,0.8476253081115706
kosztować,ndk,skosztować,dk,empty,0.40141385286099407
kraść,ndk,ukraść,dk,empty,0.6539135941548286
kraść,ndk,okraść,dk,derived,0.580236044989088
kraść,ndk,skraść,dk,derived,0.4856314611253898
kręcić,ndk,zakręcić,dk,empty,0.6182051410084367
krytykować,ndk,skrytykować,dk,empty,0.8045961038136775
krzyczeć,ndk,krzyknąć,dk,suffixed,0.6824091607852925
krzyczeć,ndk,pokrzyczeć,dk,derived,0.7383323906108077
krzyczeć,ndk,nakrzyczeć,dk,derived,0.6891390814206787
kształtować,ndk,ukształtować,dk,empty,0.7770446268985939
kupować,ndk,kupić,dk,suffixed,0.7656094949915481
kusić,ndk,skusić,dk,empty,0.6127539646157628
kusić,ndk,podkusić,dk,derived,0.5248519145391483
kwestionować,ndk,zakwestionować,dk,empty,0.75263769269484
lądować,ndk,wylądować,dk,empty,0.750959828337343
lecieć,ndk,polecieć,dk,empty,0.8232861202751639
lecieć,ndk,nadlecieć,dk,derived,0.6095489225701591
lecieć,ndk,przelecieć,dk,derived,0.6316394180056107
lecieć,ndk,przylecieć,dk,derived,0.687671485345061
lecieć,ndk,rozlecieć,dk,derived,0.5442240792933185
lecieć,ndk,wylecieć,dk,derived,0.6821262901701357
lecieć,ndk,zalecieć,dk,derived,0.6452474380481016
leczyć,ndk,wyleczyć,dk,empty,0.8133236714977665
leczyć,ndk,podleczyć,dk,derived,0.7001784906159797
leczyć,ndk,uleczyć,dk,derived,0.7000455129862755
leczyć,ndk,zaleczyć,dk,derived,0.6960489133927393
lekceważyć,ndk,zlekceważyć,dk,empty,0.7948475674043856
liczyć,ndk,policzyć,dk,empty,0.6091576911418167
lśnić,ndk,zalśnić,dk,empty,0.7783519174997967
łamać,ndk,złamać,dk,empty,0.7583109385907949
łapać,ndk,złapać,dk,empty,0.7715127622063398
łączyć,ndk,połączyć,dk,empty,0.8240379146832262
łączyć,ndk,złączyć,dk,derived,0.619867607866324
machać,ndk,machnąć,dk,suffixed,0.6448085859897409
machać,ndk,namachać,dk,derived,0.6409492528948784
machać,ndk,odmachać,dk,derived,0.6779497857468438
machać,ndk,pomachać,dk,derived,0.7832248120099436
machać,ndk,rozmachać,dk,derived,0.5405039326284341
machać,ndk,zamachać,dk,derived,0.6210641772520092
maleć,ndk,zmaleć,dk,empty,0.7066758379879351
malować,ndk,namalować,dk,empty,0.6985943325954372
malować,ndk,pomalować,dk,empty,0.7503909308479347
malować,ndk,umalować,dk,empty,0.6553364543742226
mamrotać,ndk,zamamrotać,dk,empty,0.8065798196564196
mamrotać,ndk,wymamrotać,dk,empty,0.8037914408121609
marnować,ndk,zmarnować,dk,empty,0.7884832875121442
marszczyć,ndk,zmarszczyć,dk,empty,0.7555071011801636
martwić,ndk,zmartwić,dk,empty,0.6272222515480178
marzyć,ndk,zamarzyć,dk,empty,0.72352152731714
marzyć,ndk,rozmarzyć,dk,derived,0.5844182588872942
marzyć,ndk,wymarzyć,dk,derived,0.5393927334236743
męczyć,ndk,zmęczyć,dk,empty,0.6765531758335013
mierzyć,ndk,zmierzyć,dk,empty,0.7772637188760576
mieszać,ndk,pomieszać,dk,empty,0.739275377587425
mieszać,ndk,wymieszać,dk,empty,0.6741738353678749
mieszać,ndk,zmieszać,dk,empty,0.7163893045190485
mieszać,ndk,wymieszać,dk,derived,0.6741738353678749
mieszać,ndk,rozmieszać,dk,derived,0.6892696354098732
mieszać,ndk,namieszać,dk,derived,0.5008602559934744
mieszać,ndk,przemieszać,dk,derived,0.6666022681318139
mieszać,ndk,wmieszać,dk,derived,0.6107837875571556
mieszać,ndk,zmieszać,dk,derived,0.7163893045190485
mieścić,ndk,zmieścić,dk,empty,0.6539893692333906
mijać,ndk,minąć,dk,suffixed,0.636706200992062
mijać,ndk,pominąć,dk,derived,0.3338762005536393
milczeć,ndk,zamilczeć,dk,empty,0.7532025853317286
milczeć,ndk,zmilczeć,dk,derived,0.7049290933525938
mordować,ndk,zamordować,dk,empty,0.6570583327755177
mordować,ndk,wymordować,dk,derived,0.6689005715130623
mordować,ndk,pomordować,dk,derived,0.558229523162995
mówić,ndk,powiedzieć,dk,suppletion,0.7784637866628966
mówić,ndk,pomówić,dk,derived,0.545796958542884
mówić,ndk,omówić,dk,derived,0.39360011880813783
mówić,ndk,wymówić,dk,derived,0.45056326653168766
mówić,ndk,zamówić,dk,derived,0.3522978929107813
mruczeć,ndk,mruknąć,dk,suffixed,0.5174922419555633
mruczeć,ndk,pomruczeć,dk,derived,0.8338305899252331
mruczeć,ndk,zamruczeć,dk,empty,0.7144798189093954
mrugać,ndk,mrugnąć,dk,suffixed,0.6251273075459635
mrugać,ndk,zamrugać,dk,empty,0.827062588781266
myć,ndk,umyć,dk,empty,0.7346361367338567
myć,ndk,zmyć,dk,derived,0.5590737779119348
myć,ndk,domyć,dk,derived,0.6102313686473909
myć,ndk,obmyć,dk,derived,0.48490750897700596
mylić,ndk,omylić,dk,empty,0.68993066592945
mylić,ndk,pomylić,dk,empty,0.7378331815277237
mylić,ndk,zmylić,dk,empty,0.4553716145180664
myśleć,ndk,pomyśleć,dk,empty,0.804740354965841
myśleć,ndk,przemyśleć,dk,derived,0.5709745212155062
nabierać,ndk,nabrać,dk,suffixed,0.7715394468552623
naciskać,ndk,nacisnąć,dk,suffixed,0.6653146589994988
nadawać,ndk,nadać,dk,suffixed,0.6857703245817346
nagrywać,ndk,nagrać,dk,suffixed,0.7875206360039041
nakazywać,ndk,nakazać,dk,suffixed,0.7447576068768188
nalegać,ndk,nalec,dk,suffixed,0.20091948247161395
namawiać,ndk,namówić,dk,suffixed,0.6839115536309849
napełniać,ndk,napełnić,dk,suffixed,0.8267164428034571
narastać,ndk,narosnąć,dk,suffixed,0.5786147870613796
narażać,ndk,narazić,dk,suffixed,0.7987643475051184
naruszać,ndk,naruszyć,dk,suffixed,0.8223496063559995
narzucać,ndk,narzucić,dk,suffixed,0.7868460420476395
następować,ndk,nastąpić,dk,suffixed,0.7119276884818689
nawiązywać,ndk,nawiązać,dk,suffixed,0.7248379736829634
nazywać,ndk,nazwać,dk,suffixed,0.7363531208802561
negocjować,ndk,wynegocjować,dk,empty,0.747796166405175
nienawidzić,ndk,znienawidzić,dk,empty,0.7802258114673257
niepokoić,ndk,zaniepokoić,dk,empty,0.7382747785969753
niszczyć,ndk,zniszczyć,dk,empty,0.8128489893287668
notować,ndk,zanotować,dk,empty,0.6901632293703555
notować,ndk,wynotować,dk,derived,0.5870406851243029
notować,ndk,odnotować,dk,derived,0.5756361034698161
nudzić,ndk,znudzić,dk,empty,0.6882622022307063
obejmować,ndk,objąć,dk,suffixed,0.6693312741604017
obiecywać,ndk,obiecać,dk,suffixed,0.7363508904112146
obniżać,ndk,obniżyć,dk,suffixed,0.7722532429547456
obracać,ndk,obrócić,dk,suffixed,0.7197336304589601
obrażać,ndk,obrazić,dk,suffixed,0.7549084551584296
obserwować,ndk,zaobserwować,dk,empty,0.7733986009391827
obsługiwać,ndk,obsłużyć,dk,suffixed,0.7563146430587337
oceniać,ndk,ocenić,dk,suffixed,0.747956661705868
ocierać,ndk,otrzeć,dk,suffixed,0.5472615660131898
odbierać,ndk,odebrać,dk,suffixed,0.7633180374739701
odbijać,ndk,odbić,dk,suffixed,0.7116732938967572
odbywać,ndk,odbyć,dk,suffixed,0.7551356932167325
odcinać,ndk,odciąć,dk,suffixed,0.7477768379636055
odczuwać,ndk,odczuć,dk,suffixed,0.6212914371072054
odczytywać,ndk,odczytać,dk,suffixed,0.7672337473537048
oddalać,ndk,oddalić,dk,suffixed,0.4662654521149755
oddawać,ndk,oddać,dk,suffixed,0.8186328577241407
oddychać,ndk,odetchnąć,dk,suffixed,0.5640649291631227
odgrywać,ndk,odegrać,dk,suffixed,0.8039826734372832
odjeżdżać,ndk,odjechać,dk,suffixed,0.713689127195755
odkrywać,ndk,odkryć,dk,suffixed,0.6566776606946093
odmawiać,ndk,odmówić,dk,suffixed,0.7418834049626164
odnosić,ndk,odnieść,dk,suffixed,0.7425136389852312
