pivot,derivation,similarity,category,affix
agromelioracja,agromelioracyjny,0.8318066247890812,N:ADJ,-ny
agrometeorologia,agrometeorologiczny,0.8784256530596332,N:ADJ,-iczny
ajtiologia,ajtiologiczny,0.6491702791969528,N:ADJ,-iczny
adidas,adidasowy,0.5398294908799066,N:ADJ,-owy
akant,akantowy,0.5913840641965402,N:ADJ,-owy
acykliczny,acyklicznie,0.6990666070855419,ADJ:ADV,-ie
acykliczny,acykliczność,0.5789749427420888,ADJ:N,-ość
addytywny,addytywność,0.712204313521022,ADJ:N,-ość
akarologia,akarologiczny,0.7724534158489768,N:ADJ,-iczny
akataleksa,akatalektyczny,0.6653790074991266,N:ADJ,-yczny
baby-sitter,baby-sitterka,0.7587858792917062,N:N,-ka
babcia,babciny,0.3437776308303149,N:ADJ,-ny
babuwizm,babuwista,0.4600619305105318,N:N,-ista
bekhend,bekhendowy,0.7934858162064449,N:ADJ,-owy
backhand,backhandowy,0.728379255833703,N:ADJ,-owy
ambaras,ambarasować,0.5517201700977581,N:V,-ować
ambasador,ambasadorski,0.589674309550769,N:ADJ,-ski
ambasador,ambasadorostwo,0.4167200676928483,N:N,-stwo
ambasador,ambasadorowa,0.5606028931147934,N:N,-owa
ambasador,ambasadorować,0.50798845297384,N:V,-ować
ambasador,ambasadorstwo,0.5194430884318165,N:N,-stwo
arabeska,arabeskowy,0.715960057990615,N:ADJ,-owy
akceleracja,akceleracyjny,0.5658772891860696,N:ADJ,-ny
akcelerator,akceleratorowy,0.6575992460777964,N:ADJ,-owy
akcent,akcentowy,0.646447920006183,N:ADJ,-owy
akcent,akcencista,0.39958020107711323,N:N,-ista
akcent,akcentysta,0.4938195509182185,N:N,-ysta
akcentować,wyakcentować,0.7479840002733398,V:V,wy-
akcentować,zaakcentować,0.7358820790672875,V:V,za-
akcentuacja,akcentuacyjny,0.5236761009637543,N:ADJ,-ny
akcesorium,akcesoryjny,0.3816434766547234,N:ADJ,-ny
akcyza,akcyzowy,0.5920482997166604,N:ADJ,-owy
aklina,akliniczny,0.5329217891758009,N:ADJ,-iczny
akonit,akonitowy,0.526546856313145,N:ADJ,-owy
akonit,akonityna,0.5230909685437518,N:N,-yna
akord,akordyka,0.49558680234185415,N:N,-ka
akronim,akronimiczny,0.5785542738521627,N:ADJ,-iczny
akrylan,poliakrylan,0.7605068237963897,N:N,poli-
akrylonitryl,akrylonitrylowy,0.770598294024968,N:ADJ,-owy
aksjologia,aksjologiczny,0.7184991730762145,N:ADJ,-iczny
aksjomat,aksjomatyczny,0.7384132537265224,N:ADJ,-yczny
aksjomat,aksjomatyka,0.6711066179350832,N:N,-ka
akson,aksonowy,0.6538584804437665,N:ADJ,-owy
aksonometria,aksonometryczny,0.7479605736917678,N:ADJ,-ny
aglomeracja,aglomeracyjny,0.5018256936230991,N:ADJ,-ny
akademia,akademijny,0.41252066925598596,N:ADJ,-ny
akademia,akademizm,0.2679182866169656,N:N,-izm
akcydens,akcydensowy,0.7668982706413896,N:ADJ,-owy
akcydens,akcydensista,0.7091981481448661,N:N,-ista
akompaniować,zaakompaniować,0.6090898457665329,V:V,za-
aktyn,aktynowy,0.6220229916527821,N:ADJ,-owy
akmeizm,akmeista,0.6310211599548301,N:N,-ista
akmeista,akmeistka,0.7166302642903647,N:N,-ka
aktuariusz,aktuariuszka,0.7086988750677475,N:N,-ka
aktynolit,aktynolitowy,0.7714835263405168,N:ADJ,-owy
akupunkturzysta,akupunkturzystka,0.8570154149223637,N:N,-ka
aktywny,aktywnie,0.6192222215336607,ADJ:ADV,-ie
akulturacja,akulturacyjny,0.6020210499857346,N:ADJ,-ny
akwarium,akwariowy,0.555478349541407,N:ADJ,-owy
akwarystyka,akwarystyczny,0.6709197523107074,N:ADJ,-ny
akustoelektronika,akustoelektroniczny,0.7667307220661554,N:ADJ,-ny
akustooptyka,akustooptyczny,0.7708619971471287,N:ADJ,-ny
akuszer,akuszeria,0.6298792136712347,N:N,-ia
akuszer,akuszerować,0.5214257572721391,N:V,-ować
akuszer,akuszerski,0.5972811041588894,N:ADJ,-ski
akuszer,akuszerstwo,0.5620703443233821,N:N,-stwo
akuszeria,akuszeryjny,0.6799808931283474,N:ADJ,-ny
