"category","model","language","type","version","mean_similarity"
"V;PST;2;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.194465043989572
"V;PST;2;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.882297976528436
"V;PST;2;SG;FEM","FastText","Polish","Inflection","Shuffled",0.193199329484226
"V;PST;2;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.89190925257109
"V;PST;2;SG;MASC","FastText","Polish","Inflection","Shuffled",0.19061110487642
"V;PST;2;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.896683431635071
"V;PST;2;SG;MASC","Word2Vec","Polish","Inflection","Shuffled",0.228587126961308
"V;PST;3;PL","FastText","Polish","Inflection","Shuffled",0.206677119422215
"V;PST;3;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.892482868791469
"V;PST;3;PL","Word2Vec","Polish","Inflection","Shuffled",0.177849437633392
"V;PST;3;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.200300782834094
"V;PST;3;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.887734314241706
"V;PST;3;PL;MASC;HUM","Word2Vec","Polish","Inflection","Shuffled",0.177695745209585
"V;PST;3;SG;FEM","FastText","Polish","Inflection","Shuffled",0.188340460472319
"V;PST;3;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.888602191113744
"V;PST;3;SG;FEM","Word2Vec","Polish","Inflection","Shuffled",0.162825671307598
"V;PST;3;SG;MASC","FastText","Polish","Inflection","Shuffled",0.18779564879426
"V;PST;3;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.886053028649289
"V;PST;3;SG;MASC","Word2Vec","Polish","Inflection","Shuffled",0.170414194937878
"V;PST;3;SG;NEUT","FastText","Polish","Inflection","Shuffled",0.194717860295779
"V;PST;3;SG;NEUT","Multilingual BERT","Polish","Inflection","Shuffled",0.898381433850711
"V;PST;3;SG;NEUT","Word2Vec","Polish","Inflection","Shuffled",0.175943052423696
