"category","model","language","type","version","mean_similarity"
"V;IND;FUT;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Clean",0.959527144923397
"V;IND;FUT;2;SG;INFM","Word2Vec","Spanish","Inflection","Clean",0.428481399180043
"V;IND;FUT;3;PL","FastText","Spanish","Inflection","Clean",0.569538211638568
"V;IND;FUT;3;PL","Multilingual BERT","Spanish","Inflection","Clean",0.960536941267459
"V;IND;FUT;3;PL","Word2Vec","Spanish","Inflection","Clean",0.520248856423099
"V;IND;FUT;3;SG","FastText","Spanish","Inflection","Clean",0.599726504645886
"V;IND;FUT;3;SG","Multilingual BERT","Spanish","Inflection","Clean",0.962142641324425
"V;IND;FUT;3;SG","Word2Vec","Spanish","Inflection","Clean",0.547642930687302
"V;IND;PRS;1;PL","FastText","Spanish","Inflection","Clean",0.585379682615805
"V;IND;PRS;1;PL","Multilingual BERT","Spanish","Inflection","Clean",0.947264138953713
"V;IND;PRS;1;PL","Word2Vec","Spanish","Inflection","Clean",0.487486557718155
"V;IND;PRS;1;SG","FastText","Spanish","Inflection","Clean",0.548131482548844
"V;IND;PRS;1;SG","Multilingual BERT","Spanish","Inflection","Clean",0.951028512158199
"V;IND;PRS;1;SG","Word2Vec","Spanish","Inflection","Clean",0.484465460843946
"V;IND;PRS;2;PL","FastText","Spanish","Inflection","Clean",0.456000357721964
"V;IND;PRS;2;PL","Multilingual BERT","Spanish","Inflection","Clean",0.922684793886931
"V;IND;PRS;2;PL","Word2Vec","Spanish","Inflection","Clean",0.413634530093304
"V;IND;PRS;2;SG;INFM","FastText","Spanish","Inflection","Clean",0.544192754418628
"V;IND;PRS;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Clean",0.947689321303188
"V;IND;PRS;2;SG;INFM","Word2Vec","Spanish","Inflection","Clean",0.417541192765391
"V;IND;PRS;3;PL","FastText","Spanish","Inflection","Clean",0.635606549068105
"V;IND;PRS;3;PL","Multilingual BERT","Spanish","Inflection","Clean",0.961463011468583
"V;IND;PRS;3;PL","Word2Vec","Spanish","Inflection","Clean",0.581344515264989
"V;IND;PRS;3;SG","FastText","Spanish","Inflection","Clean",0.650075767679101
"V;IND;PRS;3;SG","Multilingual BERT","Spanish","Inflection","Clean",0.953020649936334
"V;IND;PRS;3;SG","Word2Vec","Spanish","Inflection","Clean",0.587621188456787
"V;IND;PST;IPFV;1;PL","FastText","Spanish","Inflection","Clean",0.447541723597294
"V;IND;PST;IPFV;1;PL","Multilingual BERT","Spanish","Inflection","Clean",0.926834175846108
"V;IND;PST;IPFV;1;PL","Word2Vec","Spanish","Inflection","Clean",0.457088329636075
"V;IND;PST;IPFV;1;SG","FastText","Spanish","Inflection","Clean",0.580494219437484
"V;IND;PST;IPFV;1;SG","Multilingual BERT","Spanish","Inflection","Clean",0.947981463037654
"V;IND;PST;IPFV;1;SG","Word2Vec","Spanish","Inflection","Clean",0.559376880836609
"V;IND;PST;IPFV;2;PL","FastText","Spanish","Inflection","Clean",0.481218886858186
"V;IND;PST;IPFV;2;PL","Multilingual BERT","Spanish","Inflection","Clean",0.931947503028725
"V;IND;PST;IPFV;2;PL","Word2Vec","Spanish","Inflection","Clean",0.447419346381651
"V;IND;PST;IPFV;2;SG;INFM","FastText","Spanish","Inflection","Clean",0.502014454586478
"V;IND;PST;IPFV;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Clean",0.944920006161631
"V;IND;PST;IPFV;2;SG;INFM","Word2Vec","Spanish","Inflection","Clean",0.430834652549643
"V;IND;PST;IPFV;3;PL","FastText","Spanish","Inflection","Clean",0.544291165262092
"V;IND;PST;IPFV;3;PL","Multilingual BERT","Spanish","Inflection","Clean",0.948287577136485
"V;IND;PST;IPFV;3;PL","Word2Vec","Spanish","Inflection","Clean",0.533759723192722
"V;IND;PST;IPFV;3;SG","FastText","Spanish","Inflection","Clean",0.580531820601661
"V;IND;PST;IPFV;3;SG","Multilingual BERT","Spanish","Inflection","Clean",0.947962282342891
"V;IND;PST;IPFV;3;SG","Word2Vec","Spanish","Inflection","Clean",0.559277465418478
"V;PRS;1;PL","FastText","Polish","Inflection","Clean",0.555311527395808
"V;PRS;1;PL","Multilingual BERT","Polish","Inflection","Clean",0.934727522075472
