"verb","aspect","pair","pair_aspect","pair_type","similarity","model"
"pakować","ndk","zapakować","dk","empty",0.735773366596558,"FastText"
"pakować","ndk","spakować","dk","empty",0.706458343414668,"FastText"
"pakować","ndk","przypakować","dk","derived",0.558773325195162,"FastText"
"pakować","ndk","przepakować","dk","derived",0.613905414238766,"FastText"
"pakować","ndk","dopakować","dk","derived",0.620137008093552,"FastText"
"pakować","ndk","napakować","dk","derived",0.589397019566688,"FastText"
"pakować","ndk","wypakować","dk","derived",0.585705973008582,"FastText"
"panować","ndk","zapanować","dk","empty",0.710633866807189,"FastText"
"panować","ndk","opanować","dk","derived",0.492475799543739,"FastText"
"pasować","ndk","spasować","dk","empty",0.552994448922676,"FastText"
"pasować","ndk","przypasować","dk","derived",0.656261905482627,"FastText"
"pchać","ndk","pchnąć","dk","suffixed",0.580947437288569,"FastText"
"pędzić","ndk","popędzić","dk","empty",0.728366276842294,"FastText"
"pędzić","ndk","wypędzić","dk","derived",0.454504773753592,"FastText"
"pędzić","ndk","dopędzić","dk","derived",0.558806074235074,"FastText"
"pędzić","ndk","zapędzić","dk","derived",0.557332217588917,"FastText"
"pędzić","ndk","przepędzić","dk","derived",0.483272443661385,"FastText"
"pędzić","ndk","odpędzić","dk","derived",0.428088946777892,"FastText"
"pękać","ndk","pęknąć","dk","suffixed",0.641855133921932,"FastText"
"pękać","ndk","spękać","dk","derived",0.558850100737112,"FastText"
"pić","ndk","wypić","dk","empty",0.766210285994904,"FastText"
"pić","ndk","przepić","dk","derived",0.501123182747559,"FastText"
"pić","ndk","zapić","dk","derived",0.595818377804328,"FastText"
"pić","ndk","rozpić","dk","derived",0.268150980658321,"FastText"
"pić","ndk","podpić","dk","derived",0.274158897684312,"FastText"
"pić","ndk","odpić","dk","derived",0.239779024932608,"FastText"
"pić","ndk","nadpić","dk","derived",0.0756288891402082,"FastText"
"pić","ndk","spić","dk","derived",0.470063753017763,"FastText"
"pić","ndk","upić","dk","derived",0.60873987690722,"FastText"
"pić","ndk","popić","dk","derived",0.654613571533142,"FastText"
"piec","ndk","upiec","dk","empty",0.622348702829605,"FastText"
"piec","ndk","opiec","dk","derived",0.41022898257427,"FastText"
"piec","ndk","przypiec","dk","derived",0.516860489734846,"FastText"
"piec","ndk","wypiec","dk","derived",0.618208672414469,"FastText"
"piec","ndk","dopiec","dk","derived",0.452441551674466,"FastText"
"piec","ndk","zapiec","dk","derived",0.544885254684651,"FastText"
"piec","ndk","spiec","dk","derived",0.572405148821996,"FastText"
"piec","ndk","napiec","dk","derived",0.540135013719158,"FastText"
"piec","ndk","podpiec","dk","derived",0.557813462501825,"FastText"
"pilnować","ndk","upilnować","dk","empty",0.657363977029195,"FastText"
"pisać","ndk","napisać","dk","empty",0.78489420659696,"FastText"
"pisać","ndk","dopisać","dk","derived",0.60025469409242,"FastText"
"pisać","ndk","opisać","dk","derived",0.547812199107437,"FastText"
"pisać","ndk","przepisać","dk","derived",0.49800129778008,"FastText"
"pisać","ndk","zapisać","dk","derived",0.499839875051171,"FastText"
"planować","ndk","zaplanować","dk","empty",0.81551880590953,"FastText"
"planować","ndk","splanować","dk","empty",0.510795706032715,"FastText"
"plasować","ndk","uplasować","dk","empty",0.837854530656743,"FastText"
"płacić","ndk","zapłacić","dk","empty",0.857148004869423,"FastText"
"płakać","ndk","zapłakać","dk","empty",0.756785847408264,"FastText"
"płonąć","ndk","spłonąć","dk","empty",0.729159706066977,"FastText"
"płynąć","ndk","popłynąć","dk","empty",0.774461584467571,"FastText"
"pobierać","ndk","pobrać","dk","suffixed",0.677368280834071,"FastText"
"pochłaniać","ndk","pochłonąć","dk","suffixed",0.661742687365336,"FastText"
"pochylać","ndk","pochylić","dk","suffixed",0.740457829797098,"FastText"
"pociągać","ndk","pociągnąć","dk","suffixed",0.713050993215204,"FastText"
"pocieszać","ndk","pocieszyć","dk","suffixed",0.772202124367443,"FastText"
"poczynać","ndk","począć","dk","suffixed",0.548133718159073,"FastText"
"podawać","ndk","podać","dk","suffixed",0.793868222197278,"FastText"
"podążać","ndk","podążyć","dk","suffixed",0.81381462929994,"FastText"
"poddawać","ndk","poddać","dk","suffixed",0.824222726065894,"FastText"
"podejmować","ndk","podjąć","dk","suffixed",0.804108163266393,"FastText"
"podkreślać","ndk","podkreślić","dk","suffixed",0.699221287113419,"FastText"
"podlegać","ndk","podlec","dk","suffixed",0.34144011435722,"FastText"
"podnosić","ndk","podnieść","dk","suffixed",0.812959355757447,"FastText"
"podobać","ndk","spodobać","dk","empty",0.775948590484432,"FastText"
"podpisywać","ndk","podpisać","dk","suffixed",0.761593139894271,"FastText"
"podpowiadać","ndk","podpowiedzieć","dk","suffixed",0.725659815960876,"FastText"
"podskakiwać","ndk","podskoczyć","dk","suffixed",0.640827104787987,"FastText"
"podtrzymywać","ndk","podtrzymać","dk","suffixed",0.795240904274262,"FastText"
"pojawiać","ndk","pojawić","dk","suffixed",0.806081012354954,"FastText"
"pojmować","ndk","pojąć","dk","suffixed",0.558008112484643,"FastText"
"pokazywać","ndk","pokazać","dk","suffixed",0.794558815572618,"FastText"
"pokonywać","ndk","pokonać","dk","suffixed",0.788563007858329,"FastText"
"pokrywać","ndk","pokryć","dk","suffixed",0.718705331445698,"FastText"
"polecać","ndk","polecić","dk","suffixed",0.712014964903288,"FastText"
"pomagać","ndk","pomóc","dk","suffixed",0.808037131317773,"FastText"
"pomijać","ndk","pominąć","dk","suffixed",0.733018988227841,"FastText"
"ponosić","ndk","ponieść","dk","suffixed",0.757042862802148,"FastText"
"popełniać","ndk","popełnić","dk","suffixed",0.818923500664534,"FastText"
"popierać","ndk","poprzeć","dk","suffixed",0.706655255389758,"FastText"
"popijać","ndk","popić","dk","suffixed",0.747440439891291,"FastText"
"poprawiać","ndk","poprawić","dk","suffixed",0.817275943507325,"FastText"
"porównywać","ndk","porównać","dk","suffixed",0.761461998281375,"FastText"
"poruszać","ndk","poruszyć","dk","suffixed",0.653742816505573,"FastText"
"posiadać","ndk","posiąść","dk","suffixed",0.559632063274109,"FastText"
"posiadać","ndk","posieść","dk","suffixed",0.332654295663214,"FastText"
"postanawiać","ndk","postanowić","dk","suffixed",0.706559454810852,"FastText"
"postępować","ndk","postąpić","dk","suffixed",0.745054444611121,"FastText"
"postrzegać","ndk","postrzec","dk","suffixed",0.630091510521672,"FastText"
"posuwać","ndk","posunąć","dk","suffixed",0.64392269811002,"FastText"
"posyłać","ndk","posłać","dk","suffixed",0.751966952092593,"FastText"
"poszukiwać","ndk","poszukać","dk","suffixed",0.738475191901925,"FastText"
"poświęcać","ndk","poświęcić","dk","suffixed",0.852859932948532,"FastText"
"potrząsać","ndk","potrząsnąć","dk","suffixed",0.746576218060323,"FastText"
"potwierdzać","ndk","potwierdzić","dk","suffixed",0.696636969790803,"FastText"
"powiększać","ndk","powiększyć","dk","suffixed",0.717874306269506,"FastText"
"powodować","ndk","spowodować","dk","empty",0.875676483448151,"FastText"
"powoływać","ndk","powołać","dk","suffixed",0.753791807513514,"FastText"
"powracać","ndk","powrócić","dk","suffixed",0.718390720648489,"FastText"
"powstawać","ndk","powstać","dk","suffixed",0.78671120816644,"FastText"
"powstrzymywać","ndk","powstrzymać","dk","suffixed",0.796316010647388,"FastText"
"powtarzać","ndk","powtórzyć","dk","suffixed",0.780899547680717,"FastText"
"poznawać","ndk","poznać","dk","suffixed",0.736023570797271,"FastText"
"pozostawać","ndk","pozostać","dk","suffixed",0.817209173030203,"FastText"
"pozostawiać","ndk","pozostawić","dk","suffixed",0.829693636198287,"FastText"
"pozwalać","ndk","pozwolić","dk","suffixed",0.750501846343407,"FastText"
"pragnąć","ndk","zapragnąć","dk","empty",0.750812014662384,"FastText"
"prezentować","ndk","zaprezentować","dk","empty",0.681830446239128,"FastText"
"prezentować","ndk","sprezentować","dk","derived",0.466934249633079,"FastText"
"produkować","ndk","wyprodukować","dk","empty",0.783008712462142,"FastText"
"proponować","ndk","zaproponować","dk","empty",0.775895648308478,"FastText"
"prosić","ndk","poprosić","dk","empty",0.839754001019875,"FastText"
"prosić","ndk","oprosić","dk","empty",0.651490346548429,"FastText"
"prosić","ndk","doprosić","dk","derived",0.693866704137031,"FastText"
"prosić","ndk","naprosić","dk","derived",0.540943059582022,"FastText"
"prosić","ndk","odprosić","dk","derived",0.65247187576002,"FastText"
"prosić","ndk","poprosić","dk","derived",0.839754001019875,"FastText"
"prosić","ndk","przeprosić","dk","derived",0.570802202641959,"FastText"
"prosić","ndk","sprosić","dk","derived",0.633854951520601,"FastText"
"prosić","ndk","uprosić","dk","derived",0.703918044198062,"FastText"
"prosić","ndk","wyprosić","dk","derived",0.726028484566663,"FastText"
"prosić","ndk","zaprosić","dk","derived",0.597625516573909,"FastText"
"protestować","ndk","zaprotestować","dk","empty",0.752563956339144,"FastText"
"próbować","ndk","spróbować","dk","empty",0.796671250099697,"FastText"
"próbować","ndk","wypróbować","dk","derived",0.577513151451619,"FastText"
"próbować","ndk","popróbować","dk","derived",0.710587646835359,"FastText"
"przebiegać","ndk","przebiec","dk","suffixed",0.479828264055465,"FastText"
"przebiegać","ndk","przebiegnąć","dk","suffixed",0.597618110134597,"FastText"
"przebierać","ndk","przebrać","dk","suffixed",0.61037732591759,"FastText"
"przebijać","ndk","przebić","dk","suffixed",0.719504747331499,"FastText"
"przebywać","ndk","przebyć","dk","suffixed",0.430241212768234,"FastText"
"przechowywać","ndk","przechować","dk","suffixed",0.797308728767252,"FastText"
"przeciągać","ndk","przeciągnąć","dk","suffixed",0.74116500981185,"FastText"
"przecinać","ndk","przeciąć","dk","suffixed",0.73804368213368,"FastText"
"przedstawiać","ndk","przedstawić","dk","suffixed",0.747925342853679,"FastText"
"przeglądać","ndk","przeglądnąć","dk","suffixed",0.677145671568551,"FastText"
"przeglądać","ndk","przejrzeć","dk","suffixed",0.702476864680195,"FastText"
"przegrywać","ndk","przegrać","dk","suffixed",0.727428553831739,"FastText"
"przejawiać","ndk","przejawić","dk","suffixed",0.788031025492231,"FastText"
"przejeżdżać","ndk","przejechać","dk","suffixed",0.644485880053032,"FastText"
"przejmować","ndk","przejąć","dk","suffixed",0.587967573586915,"FastText"
"przekazywać","ndk","przekazać","dk","suffixed",0.787738290323666,"FastText"
"przeklinać","ndk","przekląć","dk","suffixed",0.62636647320789,"FastText"
"przekonywać","ndk","przekonać","dk","suffixed",0.688609999452674,"FastText"
"przekraczać","ndk","przekroczyć","dk","suffixed",0.869791819230209,"FastText"
"przemawiać","ndk","przemówić","dk","suffixed",0.644561450189771,"FastText"
"przemierzać","ndk","przemierzyć","dk","suffixed",0.810807595023114,"FastText"
"przenikać","ndk","przeniknąć","dk","suffixed",0.661139212646968,"FastText"
"przenosić","ndk","przenieść","dk","suffixed",0.759913691347131,"FastText"
"przepadać","ndk","przepaść","dk","suffixed",0.221642164158685,"FastText"
"przepraszać","ndk","przeprosić","dk","suffixed",0.704683148149267,"FastText"
"przeprowadzać","ndk","przeprowadzić","dk","suffixed",0.843525235984689,"FastText"
"przerażać","ndk","przerazić","dk","suffixed",0.757540828904877,"FastText"
"przerywać","ndk","przeryć","dk","suffixed",0.46679540576478,"FastText"
"przesadzać","ndk","przesadzić","dk","suffixed",0.828489297309601,"FastText"
"przestawać","ndk","przestać","dk","suffixed",0.725331912857549,"FastText"
"przestrzegać","ndk","przestrzec","dk","suffixed",0.545989434176434,"FastText"
"przesuwać","ndk","przesunąć","dk","suffixed",0.682110438567874,"FastText"
"przesyłać","ndk","przesłać","dk","suffixed",0.731119713125567,"FastText"
"przeszkadzać","ndk","przeszkodzić","dk","suffixed",0.68591113969465,"FastText"
"przeważać","ndk","przeważyć","dk","suffixed",0.556391971170477,"FastText"
"przewidywać","ndk","przewidzieć","dk","suffixed",0.747359031477639,"FastText"
"przewracać","ndk","przewrócić","dk","suffixed",0.716519812316219,"FastText"
"przewyższać","ndk","przewyższyć","dk","suffixed",0.731455132583047,"FastText"
"przeżywać","ndk","przeżyć","dk","suffixed",0.652280905399281,"FastText"
"przybierać","ndk","przybrać","dk","suffixed",0.806165456861177,"FastText"
"przybywać","ndk","przybyć","dk","suffixed",0.578376054100184,"FastText"
"przychodzić","ndk","przyjść","dk","suffixed",0.735151158688497,"FastText"
"przyciągać","ndk","przyciągnąć","dk","suffixed",0.809904297220785,"FastText"
"przyciskać","ndk","przycisnąć","dk","suffixed",0.768371986230695,"FastText"
"przyczyniać","ndk","przyczynić","dk","suffixed",0.832061499775496,"FastText"
"przyglądać","ndk","przyjrzeć","dk","suffixed",0.791324061382546,"FastText"
"przyglądać","ndk","przyglądnąć","dk","suffixed",0.788910029349472,"FastText"
"przygotowywać","ndk","przygotować","dk","suffixed",0.81582357729326,"FastText"
"przyjeżdżać","ndk","przyjechać","dk","suffixed",0.760234465882126,"FastText"
"przyjmować","ndk","przyjąć","dk","suffixed",0.754602120757185,"FastText"
"przynosić","ndk","przynieść","dk","suffixed",0.807893340093014,"FastText"
"przypadać","ndk","przypaść","dk","suffixed",0.613869765059107,"FastText"
"przypatrywać","ndk","przypatrzyć","dk","suffixed",0.823652677174463,"FastText"
"przypatrywać","ndk","przypatrzeć","dk","suffixed",0.806668839096882,"FastText"
"przypisywać","ndk","przypisać","dk","suffixed",0.817086207926654,"FastText"
"przypominać","ndk","przypomnieć","dk","suffixed",0.68427556344163,"FastText"
"przypuszczać","ndk","przypuścić","dk","suffixed",0.652797259417745,"FastText"
"przysięgać","ndk","przysiąc","dk","suffixed",0.592575353471693,"FastText"
"przysięgać","ndk","przysięgnąć","dk","suffixed",0.811241343891872,"FastText"
"przywiązywać","ndk","przywiązać","dk","suffixed",0.730187981921346,"FastText"
"przywoływać","ndk","przywołać","dk","suffixed",0.74671689738441,"FastText"
"przyznawać","ndk","przyznać","dk","suffixed",0.592469874961731,"FastText"
"psuć","ndk","zepsuć","dk","empty",0.732682963431826,"FastText"
"psuć","ndk","popsuć","dk","empty",0.77681159288827,"FastText"
"publikować","ndk","opublikować","dk","empty",0.779651589260604,"FastText"
"puszczać","ndk","puścić","dk","suffixed",0.779061402809782,"FastText"
"pytać","ndk","spytać","dk","empty",0.802386256396066,"FastText"
"pytać","ndk","wypytać","dk","derived",0.695605522733948,"FastText"
"pytać","ndk","zapytać","dk","derived",0.804439196560694,"FastText"
"radzić","ndk","poradzić","dk","empty",0.865819660754473,"FastText"
"radzić","ndk","doradzić","dk","derived",0.496240848863845,"FastText"
"radzić","ndk","odradzić","dk","derived",0.369270766458616,"FastText"
"ratować","ndk","uratować","dk","empty",0.846009906738513,"FastText"
"ratować","ndk","odratować","dk","derived",0.649558911700323,"FastText"
"ratować","ndk","poratować","dk","derived",0.624159686731544,"FastText"
"reagować","ndk","zareagować","dk","empty",0.823582970631931,"FastText"
"realizować","ndk","zrealizować","dk","empty",0.841623469965747,"FastText"
"relacjonować","ndk","zrelacjonować","dk","empty",0.798398290065009,"FastText"
"rezygnować","ndk","zrezygnować","dk","empty",0.853387680302793,"FastText"
"robić","ndk","zrobić","dk","empty",0.844108619338166,"FastText"
"robić","ndk","dorobić","dk","derived",0.534853632803825,"FastText"
"robić","ndk","nadrobić","dk","derived",0.369602985059579,"FastText"
"robić","ndk","odrobić","dk","derived",0.400060206767501,"FastText"
"robić","ndk","podrobić","dk","derived",0.37066763568186,"FastText"
"robić","ndk","przerobić","dk","derived",0.515904285591853,"FastText"
"robić","ndk","urobić","dk","derived",0.436806195691041,"FastText"
"robić","ndk","wyrobić","dk","derived",0.407623016071222,"FastText"
"robić","ndk","zarobić","dk","derived",0.493250403270398,"FastText"
"rodzić","ndk","urodzić","dk","empty",0.648459227265763,"FastText"
"rosnąć","ndk","urosnąć","dk","empty",0.72728167285622,"FastText"
"rozbijać","ndk","rozbić","dk","suffixed",0.746239896331801,"FastText"
"rozciągać","ndk","rozciągnąć","dk","suffixed",0.762891528608798,"FastText"
"rozdawać","ndk","rozdać","dk","suffixed",0.728143379160489,"FastText"
"rozglądać","ndk","rozglądnąć","dk","suffixed",0.786564915050971,"FastText"
"rozglądać","ndk","rozejrzeć","dk","suffixed",0.788529506219096,"FastText"
"rozgrywać","ndk","rozegrać","dk","suffixed",0.718643806799996,"FastText"
"rozgrywać","ndk","rozgrać","dk","suffixed",0.435674066859763,"FastText"
"rozlegać","ndk","rozlec","dk","suffixed",0.327347228476125,"FastText"
"rozlegać","ndk","rozlegnąć","dk","suffixed",0.710222671961647,"FastText"
"rozpoczynać","ndk","rozpocząć","dk","suffixed",0.786376600159706,"FastText"
"rozpoznawać","ndk","rozpoznać","dk","suffixed",0.732304664973781,"FastText"
"rozumieć","ndk","zrozumieć","dk","empty",0.679204122890967,"FastText"
"rozważać","ndk","rozważyć","dk","suffixed",0.744321474183018,"FastText"
"rozwiązywać","ndk","rozwiązać","dk","suffixed",0.769129444612219,"FastText"
"rozwijać","ndk","rozwinąć","dk","suffixed",0.710385138194824,"FastText"
"rozwijać","ndk","rozwić","dk","suffixed",0.39996958999036,"FastText"
"ruszać","ndk","ruszyć","dk","suffixed",0.777864714865313,"FastText"
"rysować","ndk","narysować","dk","empty",0.72949888299994,"FastText"
"rysować","ndk","dorysować","dk","derived",0.585745237522505,"FastText"
"rysować","ndk","obrysować","dk","derived",0.643709132818135,"FastText"
"rysować","ndk","odrysować","dk","derived",0.604412166654019,"FastText"
"rysować","ndk","porysować","dk","derived",0.533259359332358,"FastText"
"rysować","ndk","przerysować","dk","derived",0.597152359902568,"FastText"
"rysować","ndk","rozrysować","dk","derived",0.585266941821688,"FastText"
"rysować","ndk","wrysować","dk","derived",0.638929385218428,"FastText"
"rysować","ndk","wyrysować","dk","derived",0.636953525866058,"FastText"
"rysować","ndk","zarysować","dk","derived",0.477892066725959,"FastText"
"rysować","ndk","zrysować","dk","derived",0.597612733941219,"FastText"
"ryzykować","ndk","zaryzykować","dk","empty",0.738881979745273,"FastText"
"rzucać","ndk","rzucić","dk","suffixed",0.768936591661644,"FastText"
"siadać","ndk","siąść","dk","suffixed",0.679369518565572,"FastText"
"siadać","ndk","sieść","dk","suffixed",0.305332855524595,"FastText"
"sięgać","ndk","sięgnąć","dk","suffixed",0.830545686353763,"FastText"
"skakać","ndk","skoczyć","dk","suffixed",0.680681233504447,"FastText"
"skarżyć","ndk","poskarżyć","dk","empty",0.736154868037542,"FastText"
"skarżyć","ndk","zaskarżyć","dk","derived",0.66267311898914,"FastText"
"skłaniać","ndk","skłonić","dk","suffixed",0.720567164330032,"FastText"
"skręcać","ndk","skręcić","dk","suffixed",0.714380548853496,"FastText"
"skupiać","ndk","skupić","dk","suffixed",0.852488977310101,"FastText"
"słuchać","ndk","posłuchać","dk","empty",0.800118285185697,"FastText"
"słyszeć","ndk","usłyszeć","dk","empty",0.81755852344417,"FastText"
"snuć","ndk","usnuć","dk","empty",0.612195854988594,"FastText"
"spacerować","ndk","pospacerować","dk","empty",0.761052382638033,"FastText"
"spadać","ndk","spaść","dk","suffixed",0.763909721586182,"FastText"
"spełniać","ndk","spełnić","dk","suffixed",0.83857819806331,"FastText"
"spędzać","ndk","spędzić","dk","suffixed",0.863553766774178,"FastText"
"spieszyć","ndk","pospieszyć","dk","empty",0.773748890055928,"FastText"
"spisywać","ndk","spisać","dk","suffixed",0.708389836309124,"FastText"
"spływać","ndk","spłynąć","dk","suffixed",0.743271129512882,"FastText"
"spływać","ndk","spławić","dk","derived",0.482490726825398,"FastText"
"spoczywać","ndk","spocząć","dk","suffixed",0.747605972229394,"FastText"
"spoglądać","ndk","spoglądnąć","dk","suffixed",0.640559360700479,"FastText"
"spoglądać","ndk","spojrzeć","dk","suffixed",0.743026237735529,"FastText"
"spoglądać","ndk","spójrzeć","dk","suffixed",0.544532453491824,"FastText"
"spotykać","ndk","spotkać","dk","suffixed",0.734382697627347,"FastText"
"sprawdzać","ndk","sprawdzić","dk","suffixed",0.786719995171254,"FastText"
"sprawiać","ndk","sprawić","dk","suffixed",0.764733672841023,"FastText"
"sprowadzać","ndk","sprowadzić","dk","suffixed",0.778277870108664,"FastText"
"sprzątać","ndk","sprzątnąć","dk","suffixed",0.677494022509215,"FastText"
"sprzeciwiać","ndk","sprzeciwić","dk","suffixed",0.709559129418128,"FastText"
"sprzedawać","ndk","sprzedać","dk","suffixed",0.770150684929582,"FastText"
"spuszczać","ndk","spuścić","dk","suffixed",0.770881029378707,"FastText"
"stać","ndk","stawać","dk","suffixed",0.652789786465428,"FastText"
"starać","ndk","postarać","dk","empty",0.790633096446022,"FastText"
"startować","ndk","wystartować","dk","empty",0.817646012387111,"FastText"
"stawać","ndk","stać","dk","suffixed",0.652789786465428,"FastText"
"stawać","ndk","stanąć","dk","suffixed",0.669263256407754,"FastText"
"stawiać","ndk","postawić","dk","empty",0.779291449944011,"FastText"
"stawiać","ndk","stawić","dk","suffixed",0.622662392301684,"FastText"
"stosować","ndk","zastosować","dk","empty",0.854415567710253,"FastText"
"straszyć","ndk","nastraszyć","dk","empty",0.721234632551207,"FastText"
"straszyć","ndk","przestraszyć","dk","empty",0.733837402341116,"FastText"
"straszyć","ndk","odstraszyć","dk","derived",0.634179128587725,"FastText"
"strzec","ndk","ustrzec","dk","empty",0.510213710804314,"FastText"
"strzelać","ndk","strzelić","dk","suffixed",0.684130546985018,"FastText"
"strzelać","ndk","ostrzelać","dk","derived",0.702979977434756,"FastText"
"strzelać","ndk","rozstrzelać","dk","derived",0.613064930639959,"FastText"
"studiować","ndk","przestudiować","dk","empty",0.568331089772506,"FastText"
"stukać","ndk","stuknąć","dk","suffixed",0.615308759174759,"FastText"
"stukać","ndk","nastukać","dk","derived",0.654663893055975,"FastText"
"stwarzać","ndk","stworzyć","dk","suffixed",0.609537092430072,"FastText"
"stwierdzać","ndk","stwierdzić","dk","suffixed",0.593919063561722,"FastText"
"sugerować","ndk","zasugerować","dk","empty",0.722653744166866,"FastText"
"sypać","ndk","sypnąć","dk","suffixed",0.67008970412951,"FastText"
"szacować","ndk","oszacować","dk","empty",0.824730477670894,"FastText"
"szarpać","ndk","szarpnąć","dk","suffixed",0.618510811637372,"FastText"
"szarpać","ndk","rozszarpać","dk","derived",0.630825281625349,"FastText"
"szarpać","ndk","obszarpać","dk","derived",0.597668175090537,"FastText"
"szarpać","ndk","wyszarpać","dk","derived",0.618357104118818,"FastText"
"szeptać","ndk","szepnąć","dk","suffixed",0.711210124060378,"FastText"
"szeptać","ndk","wyszeptać","dk","derived",0.767758010380506,"FastText"
"szkodzić","ndk","zaszkodzić","dk","empty",0.786830596999083,"FastText"
"szykować","ndk","uszykować","dk","empty",0.67031330700338,"FastText"
"szykować","ndk","przyszykować","dk","derived",0.708579517261213,"FastText"
"ściągać","ndk","ściągnąć","dk","suffixed",0.811132185236202,"FastText"
"ściskać","ndk","ścisnąć","dk","suffixed",0.694173137208843,"FastText"
"śmiać","ndk","roześmiać","dk","empty",0.700856013952867,"FastText"
"śpieszyć","ndk","pośpieszyć","dk","empty",0.758294429164041,"FastText"
"śpiewać","ndk","zaśpiewać","dk","empty",0.786173063672003,"FastText"
"śpiewać","ndk","odśpiewać","dk","derived",0.677151881681136,"FastText"
"śpiewać","ndk","wyśpiewać","dk","derived",0.735316309795997,"FastText"
"śpiewać","ndk","dośpiewać","dk","derived",0.635926561561004,"FastText"
"tańczyć","ndk","zatańczyć","dk","empty",0.780249249696825,"FastText"
"tańczyć","ndk","przetańczyć","dk","derived",0.655530876412832,"FastText"
"tańczyć","ndk","wytańczyć","dk","derived",0.619369063945751,"FastText"
"tkwić","ndk","utkwić","dk","empty",0.633955100711588,"FastText"
"tłuc","ndk","stłuc","dk","empty",0.566741117637898,"FastText"
"tłuc","ndk","dotłuc","dk","derived",0.423174708036876,"FastText"
"tłuc","ndk","nadtłuc","dk","derived",0.433075025501766,"FastText"
"tłuc","ndk","natłuc","dk","derived",0.593244729679324,"FastText"
"tłuc","ndk","obtłuc","dk","derived",0.556662842456977,"FastText"
"tłuc","ndk","odtłuc","dk","derived",0.468598823962622,"FastText"
"tłuc","ndk","otłuc","dk","derived",0.483136992913343,"FastText"
"tłuc","ndk","potłuc","dk","derived",0.525193422731839,"FastText"
"tłuc","ndk","przetłuc","dk","derived",0.415949596461235,"FastText"
"tłuc","ndk","przytłuc","dk","derived",0.462612498159055,"FastText"
"tłuc","ndk","roztłuc","dk","derived",0.579740190315575,"FastText"
"tłuc","ndk","utłuc","dk","derived",0.625111458631288,"FastText"
"tłuc","ndk","wtłuc","dk","derived",0.55301493931797,"FastText"
"tłuc","ndk","wytłuc","dk","derived",0.627851244928571,"FastText"
"tłuc","ndk","zatłuc","dk","derived",0.607560844528941,"FastText"
"tłumaczyć","ndk","przetłumaczyć","dk","empty",0.658799079007756,"FastText"
"tłumaczyć","ndk","wytłumaczyć","dk","empty",0.769696643649165,"FastText"
"toczyć","ndk","potoczyć","dk","empty",0.664756885230677,"FastText"
"tonąć","ndk","zatonąć","dk","empty",0.708654562906981,"FastText"
"tonąć","ndk","utonąć","dk","empty",0.687583772614561,"FastText"
"tracić","ndk","stracić","dk","empty",0.791600117108883,"FastText"
"trafiać","ndk","trafić","dk","suffixed",0.774181684069118,"FastText"
"traktować","ndk","potraktować","dk","empty",0.885559373252426,"FastText"
"trenować","ndk","wytrenować","dk","empty",0.680651149978287,"FastText"
"troszczyć","ndk","zatroszczyć","dk","empty",0.780611918918774,"FastText"
"trząść","ndk","zatrząść","dk","empty",0.607820071708202,"FastText"
"tworzyć","ndk","utworzyć","dk","empty",0.746542787126491,"FastText"
"tworzyć","ndk","stworzyć","dk","derived",0.798043692702372,"FastText"
"ubiegać","ndk","ubiec","dk","suffixed",0.321689303198372,"FastText"
"ubiegać","ndk","ubiegnąć","dk","suffixed",0.55883300166317,"FastText"
"ubierać","ndk","ubrać","dk","suffixed",0.780278316118146,"FastText"
"uciekać","ndk","uciec","dk","suffixed",0.788211448120631,"FastText"
"uciekać","ndk","ucieknąć","dk","suffixed",0.632111238827702,"FastText"
"uczyć","ndk","nauczyć","dk","empty",0.864214349630863,"FastText"
"uczyć","ndk","oduczyć","dk","derived",0.606383788597699,"FastText"
"uczyć","ndk","wyuczyć","dk","derived",0.662245204052389,"FastText"
"uczyć","ndk","douczyć","dk","derived",0.626086420736236,"FastText"
"uczyć","ndk","przeuczyć","dk","derived",0.541386548551605,"FastText"
"udawać","ndk","udać","dk","suffixed",0.537055330817259,"FastText"
"uderzać","ndk","uderzyć","dk","suffixed",0.779658942770413,"FastText"
"udzielać","ndk","udzielić","dk","suffixed",0.798504877980261,"FastText"
"ufać","ndk","zaufać","dk","empty",0.829532502533544,"FastText"
"ujawniać","ndk","ujawnić","dk","suffixed",0.803899236748867,"FastText"
"ujmować","ndk","ująć","dk","suffixed",0.623045014593362,"FastText"
"ukazywać","ndk","ukazać","dk","suffixed",0.73246650974275,"FastText"
"ukrywać","ndk","ukryć","dk","suffixed",0.737887881068339,"FastText"
"ulegać","ndk","ulec","dk","suffixed",0.790088922282574,"FastText"
"ulegać","ndk","ulegnąć","dk","suffixed",0.692637812428325,"FastText"
"ułatwiać","ndk","ułatwić","dk","suffixed",0.822360789850447,"FastText"
"umierać","ndk","umrzeć","dk","suffixed",0.758440193973619,"FastText"
"umieszczać","ndk","umieścić","dk","suffixed",0.792892556606482,"FastText"
"umożliwiać","ndk","umożliwić","dk","suffixed",0.803990329959159,"FastText"
"uniemożliwiać","ndk","uniemożliwić","dk","suffixed",0.795192001962164,"FastText"
"unikać","ndk","uniknąć","dk","suffixed",0.712830262329944,"FastText"
"unosić","ndk","unieść","dk","suffixed",0.623634718085023,"FastText"
"upierać","ndk","uprzeć","dk","suffixed",0.560326394898767,"FastText"
"uprawiać","ndk","uprawić","dk","suffixed",0.773787405720233,"FastText"
